"ci" "cci" "ri" "rc" "rhi" "rhiBar" "rci"
"70" 0.25 0.538614961163905 0.5 0.125 0.5625 0.556345428695061 0.477712422988208
"71" 0.25 0.506811160198141 0.470588235294118 0.117647058823529 0.5625 0.579299691040165 0.452929128892117
"72" 0.214285714285714 0.68317601372206 0.620689655172414 0.133004926108374 0.5 0.491664059357261 0.558206018697845
"73" 0.25 0.616017349980234 0.571428571428571 0.142857142857143 0.473684210526316 0.488705473501303 0.550837030044375
"74" 0.2 0.634686934085615 0.571428571428571 0.114285714285714 0.545454545454545 0.554836323284631 0.493247690469949
"75" 0.230769230769231 0.44738826446124 0.411764705882353 0.0950226244343891 0.625 0.633633253073121 0.397936250198054
"76" 0.2 0.407846300276807 0.368421052631579 0.0736842105263158 0.705882352941177 0.695450594030716 0.336945806150375
"77" 0.230769230769231 0.7007566393113 0.642857142857143 0.148351648351648 0.434782608695652 0.44387234231435 0.605174103773726
"78" 0.230769230769231 0.407336370115258 0.375 0.0865384615384615 0.666666666666667 0.676498444053579 0.351287648706547
"79" 0.25 0.637182295341937 0.590909090909091 0.147727272727273 0.473684210526316 0.465164358073186 0.576330063816354
"80" 0.25 0.567100681717745 0.526315789473684 0.131578947368421 0.529411764705882 0.520231213872832 0.516734993485641
"81" 0.2 0.530181152203646 0.478260869565217 0.0956521739130435 0.6 0.593941793704217 0.449694836517713
"82" 0.142857142857143 0.294086336782072 0.25 0.0357142857142857 0.857142857142857 0.866676296403293 0.156545573581145
"83" 0.176470588235294 0.296819724294683 0.263157894736842 0.0464396284829721 0.823529411764706 0.809248554913295 0.215008187428165
"84" 0.136363636363636 0.285458295455798 0.24 0.0327272727272727 0.863636363636364 0.883145858510737 0.13868707629201
"85" 0.1875 0.600753739985248 0.535714285714286 0.100446428571429 0.565217391304348 0.5689028926524 0.482387784768546
"86" 0.15 0.458492570019423 0.392857142857143 0.0589285714285714 0.739130434782609 0.736759989598682 0.306353385437091
"87" 0.1875 0.457610007931386 0.409090909090909 0.0767045454545455 0.684210526315789 0.678001460310838 0.359802928025555
"88" 0.166666666666667 0.572439384410403 0.5 0.0833333333333333 0.625 0.639877143588431 0.410918275582046
"89" 0.166666666666667 0.239740018930423 0.210526315789474 0.0350877192982456 0.882352941176471 0.875656742556918 0.141485839414946
"90" 0.142857142857143 0.447601325581824 0.379310344827586 0.0541871921182266 0.782608695652174 0.800142247510669 0.234896102492837
"91" 0.15 0.548464731098358 0.46875 0.0703125 0.708333333333333 0.710613217405844 0.336938951061128
"92" 0.230769230769231 0.686110792772932 0.62962962962963 0.145299145299145 0.454545454545455 0.463413503869503 0.583747299978497
"93" 0.166666666666667 0.456762537229802 0.4 0.0666666666666667 0.75 0.756887677868604 0.276946215674282
"94" 0.166666666666667 0.508023057989681 0.444444444444444 0.0740740740740741 0.681818181818182 0.672675904749092 0.373293835782731
"95" 0.157894736842105 0.27404418567287 0.238095238095238 0.037593984962406 0.842105263157895 0.849888452140657 0.172598794426825
"96" 0.157894736842105 0.35064606489625 0.304347826086957 0.0480549199084668 0.8 0.797527664240853 0.232938134471845
