"clustering" "splitwise"
"ufb28" 0.413816850303634 15.5195809714053
"ufb29" 0.482066148083093 19.1216169854854
"ufb30" 0.543564443199596 22.32673141539
"ufb31" 0.599314237309809 25.2071497996374
"ufb32" 0.249882292833185 6.50779464019882
"ufb33" 0.842657877202239 37.5960318668888
"ufb34" 0.413816850303634 15.5195809714053
"ufb35" 0.937734293986804 42.3815851339852
"ufb36" 0.988699408288497 44.937865644805
"ufb37" 0.413816850303634 15.5195809714053
"ufb38" 0.738284866143451 32.3117426240053
"ufb39" 0.337290066617014 11.3985655704439
"ufb40" 0.988699408288497 44.937865644805
"ufb41" 0.337290066617014 11.3985655704439
"ufb42" 0.998747297936168 45.4411840715714
"ufb43" 0.99498482818597 45.2527389821584
"ufb44" 0.998747297936168 45.4411840715714
"ufb45" 0.842657877202239 37.5960318668888
"ufb46" 0.249882292833185 6.50779464019882
"ufb47" 0.482066148083093 19.1216169854854
"ufb48" 0.599314237309809 25.2071497996374
"ufb49" 0.482066148083093 19.1216169854854
"ufb50" 0.249882292833185 6.50779464019882
"ufb51" 0.482066148083093 19.1216169854854
"ufb52" 0.482066148083093 19.1216169854854
"ufb53" 0.896038232534557 40.2857451784369
"ufb54" 0.696212260125146 30.1703867747597
"ufb55" 0.650022421648354 27.8104908296734
"ufb56" 0.482066148083093 19.1216169854854
"ufb57" 0.249882292833185 6.50779464019882
"ufb58" 0.998747297936168 45.4411840715714
"ufb59" 0.77655578544446 34.2536396694418
"ufb60" 0.696212260125146 30.1703867747597
"ufb61" 0.337290066617014 11.3985655704439
"ufb62" 0.738284866143451 32.3117426240053
"ufb63" 0.413816850303634 15.5195809714053
"ufb64" 0.413816850303634 15.5195809714053
"ufb65" 0.696212260125146 30.1703867747597
"ufb66" 0.482066148083093 19.1216169854854
"ufb67" 0.543564443199596 22.32673141539
"ufb68" 0.696212260125146 30.1703867747597
"ufb69" 0.954434002924965 43.2198340639885
"ufb70" 0.543564443199596 22.32673141539
"ufb71" 0.482066148083093 19.1216169854854
"ufb72" 0.842657877202239 37.5960318668888
"ufb73" 0.249882292833185 6.50779464019882
"ufb74" 0.896038232534557 40.2857451784369
"ufb75" 0.482066148083093 19.1216169854854
"ufb76" 0.249882292833185 6.50779464019882
"ufb77" 0.842657877202239 37.5960318668888
"ufb78" 0.979868756651153 44.495347409104
"ufb79" 0.599314237309809 25.2071497996374
"ufb80" 0.482066148083093 19.1216169854854
"ufb81" 0.696212260125146 30.1703867747597
"ufb82" 0.249882292833185 6.50779464019882
"ufb83" 0.811278124459133 36.0110693661676
"ufb84" 0.650022421648354 27.8104908296734
"ufb85" 0.249882292833185 6.50779464019882
"ufb86" 0.482066148083093 19.1216169854854
"ufb87" 0.91829583405449 41.4050441068091
